candidate_id,fold,average_precision,pr_lift,roc_auc,fit_seconds,diagnostic_cutoff,precision_at_recall_floor,recall_at_recall_floor,false_positives_at_recall_floor,true_positives_at_recall_floor,false_negatives_at_recall_floor,true_negatives_at_recall_floor,alerts_at_recall_floor,alert_rate_at_recall_floor
V4-T1-07,1,0.37291938634161237,190.06061009543157,0.9829490393244178,46.48311400000239,0.814275887854137,0.061151753892327895,0.800982800982801,5005,326,81,202018,5331,0.025700236224268428
V4-T1-07,2,0.28152054847808294,288.4838486686767,0.9794110519404373,55.00610629998846,0.12153791710036446,0.024727797455070182,0.8004246284501062,14869,377,94,467310,15246,0.031588107324147935
V4-T1-07,3,0.3551244194657381,333.3056856783295,0.9840941884285972,67.11641879999661,0.6018998553565317,0.053220382824624934,0.8005836575875487,14641,823,205,949171,15464,0.016027527880270304
V4-T1-08,1,0.39729174570273623,202.48212975704809,0.9828421181845681,43.417430900008185,0.8338772348520066,0.057566660780505034,0.800982800982801,5337,326,81,201686,5663,0.027300776165453407
V4-T1-08,2,0.31717005320013925,325.01512988757366,0.9733203404754379,49.641410300013376,0.29807918025952346,0.0167727009832273,0.8004246284501062,22100,377,94,460079,22477,0.04656997824510515
V4-T1-08,3,0.42135567723158807,395.4677155837796,0.983242824302513,57.815379800013034,0.5823958657250465,0.04506872569957834,0.8005836575875487,17438,823,205,946374,18261,0.01892645412710916
V4-T1-09,1,0.32551642086790755,165.90140339221145,0.9843316795587799,50.048946299997624,0.903725220985605,0.06753677232235343,0.800982800982801,4501,326,81,202522,4827,0.023270500891867135
V4-T1-09,2,0.31437837512157046,322.1544007482505,0.9808462212293714,52.1540189999796,0.3308790397615753,0.029172792695194613,0.8004246284501062,12546,377,94,469633,12923,0.026775095825132083
V4-T1-09,3,0.3519141034169163,330.29261044822715,0.9844949004860257,66.90664359999937,0.6676027282873155,0.05084641047819103,0.8005836575875487,15363,823,205,948449,16186,0.016775838480991668
V4-T1-10,1,0.2983926312350862,152.0776007299605,0.9822113499217009,34.20120619999943,0.9452222164457215,0.050487842651386096,0.800982800982801,6131,326,81,200892,6457,0.031128573494672903
V4-T1-10,2,0.20744204628121635,212.57304381662223,0.9786655266366906,34.52936049998971,0.6265515546947522,0.018341928578378904,0.8004246284501062,20177,377,94,462002,20554,0.042585724645188026
V4-T1-10,3,0.31091812456177953,291.81541177255576,0.984925001458621,38.154537499998696,0.8600233816079697,0.05951692218686722,0.8005836575875487,13005,823,205,950807,13828,0.014331909953982007
V4-T1-11,1,0.38207509447601384,194.72687186034287,0.9850745079173804,43.35109160002321,0.8535497841642131,0.06356014817703257,0.800982800982801,4803,326,81,202220,5129,0.024726413729932988
V4-T1-11,2,0.3173277737383269,325.1767515813237,0.9791122689594678,45.12758900001063,0.20026431454983873,0.02138279167375645,0.8004246284501062,17254,377,94,464925,17631,0.03652957629752408
V4-T1-11,3,0.40079318944817405,376.16858064900407,0.985085254489061,54.42364200000884,0.6384519177860069,0.060244491618475955,0.8005836575875487,12838,823,205,950974,13661,0.014158824261017371
V4-T1-12,1,0.2819642368210201,143.7047706235484,0.9824200591796463,29.713053299987223,0.951259298090877,0.0522687189353856,0.800982800982801,5911,326,81,201112,6237,0.030067974738465987
V4-T1-12,2,0.22237524423993182,227.87560856136537,0.9784780307446237,34.379716099996585,0.6381724860331879,0.018131973836090803,0.8004246284501062,20415,377,94,461764,20792,0.043078835595151764
